date,price,price_lag_1,price_lag_2,price_lag_3,rolling_mean_3,rolling_mean_6,month,year,target
2006-11-15,303.11,267.71,216.57,300.63,261.63666666666666,320.415,11,2006,253.31
2007-03-15,253.31,303.11,267.71,216.57,262.4633333333333,313.06166666666667,3,2007,241.13
2007-04-15,241.13,253.31,303.11,267.71,274.71,289.55333333333334,4,2007,249.62
2007-05-15,249.62,241.13,253.31,303.11,265.84999999999997,263.7433333333333,5,2007,214.87
2007-08-15,214.87,249.62,241.13,253.31,248.01999999999998,255.24166666666667,8,2007,203.75
2007-09-15,203.75,214.87,249.62,241.13,235.20666666666668,254.95833333333334,9,2007,274.69
2007-12-15,274.69,203.75,214.87,249.62,222.74666666666667,244.29833333333332,12,2007,305.34
2008-01-15,305.34,274.69,203.75,214.87,231.10333333333332,239.56166666666664,1,2008,597.96
2008-06-15,597.96,305.34,274.69,203.75,261.26,248.23333333333332,6,2008,560.67
2008-07-15,560.67,597.96,305.34,274.69,392.66333333333336,307.705,7,2008,415.88
2008-08-15,415.88,560.67,597.96,305.34,487.98999999999995,359.5466666666666,8,2008,494.57
2008-09-15,494.57,415.88,560.67,597.96,524.8366666666667,393.04833333333335,9,2008,604.89
2008-10-15,604.89,494.57,415.88,560.67,490.3733333333333,441.5183333333334,10,2008,642.79
2008-11-15,642.79,604.89,494.57,415.88,505.1133333333334,496.5516666666667,11,2008,605.78
2008-12-15,605.78,642.79,604.89,494.57,580.75,552.7933333333333,12,2008,497.88
2009-02-15,497.88,605.78,642.79,604.89,617.82,554.0966666666667,2,2009,753.36
2009-04-15,753.36,497.88,605.78,642.79,582.15,543.6316666666667,4,2009,632.01
2009-06-15,632.01,753.36,497.88,605.78,619.0066666666667,599.8783333333333,6,2009,640.44
2009-07-15,640.44,632.01,753.36,497.88,627.75,622.785,7,2009,602.56
2009-08-15,602.56,640.44,632.01,753.36,675.27,628.71,8,2009,658.58
2009-10-15,658.58,602.56,640.44,632.01,625.0033333333334,622.005,10,2009,633.13
2009-11-15,633.13,658.58,602.56,640.44,633.86,630.8050000000001,11,2009,725.0
2010-01-15,725.0,633.13,658.58,602.56,631.4233333333333,653.3466666666667,1,2010,383.26
2010-01-15,383.26,725.0,633.13,658.58,672.2366666666667,648.62,1,2010,291.88
2010-03-15,291.88,383.26,725.0,633.13,580.4633333333335,607.1616666666666,3,2010,800.0
2010-04-15,800.0,291.88,383.26,725.0,466.71333333333337,549.0683333333333,4,2010,326.18
2010-04-15,326.18,800.0,291.88,383.26,491.71333333333337,581.975,4,2010,700.0
2010-06-15,700.0,326.18,800.0,291.88,472.6866666666667,526.5749999999999,6,2010,275.93
2010-06-15,275.93,700.0,326.18,800.0,608.7266666666668,537.7199999999999,6,2010,553.85
2010-08-15,553.85,275.93,700.0,326.18,434.0366666666668,462.87499999999994,8,2010,269.0
2010-09-15,269.0,553.85,275.93,700.0,509.92666666666673,491.3066666666667,9,2010,597.69
2010-09-15,597.69,269.0,553.85,275.93,366.26000000000005,487.49333333333334,9,2010,676.92
2010-10-15,676.92,597.69,269.0,553.85,473.5133333333334,453.7749999999999,10,2010,300.81
2010-10-15,300.81,676.92,597.69,269.0,514.5366666666667,512.2316666666667,10,2010,715.38
2010-11-15,715.38,300.81,676.92,597.69,525.1400000000001,445.7,11,2010,394.27
2010-11-15,394.27,715.38,300.81,676.92,564.37,518.9416666666667,11,2010,700.0
2010-12-15,700.0,394.27,715.38,300.81,470.15333333333336,492.345,12,2010,444.93
2010-12-15,444.93,700.0,394.27,715.38,603.2166666666667,564.1783333333333,12,2010,539.46
2011-01-15,539.46,444.93,700.0,394.27,513.0666666666667,538.7183333333334,1,2011,600.0
2011-02-15,600.0,539.46,444.93,700.0,561.4633333333334,515.8083333333334,2,2011,474.8
2011-02-15,474.8,600.0,539.46,444.93,528.13,565.6733333333333,2,2011,665.0
2011-03-15,665.0,474.8,600.0,539.46,538.0866666666667,525.5766666666667,3,2011,1050.0
2011-04-15,1050.0,665.0,474.8,600.0,579.9333333333333,570.6983333333334,4,2011,1000.0
2011-05-15,1000.0,1050.0,665.0,474.8,729.9333333333334,629.0316666666666,5,2011,850.0
2011-06-15,850.0,1000.0,1050.0,665.0,905.0,721.5433333333334,6,2011,1191.26
2011-07-15,1191.26,850.0,1000.0,1050.0,966.6666666666666,773.3000000000001,7,2011,1000.0
2011-08-15,1000.0,1191.26,850.0,1000.0,1013.7533333333334,871.8433333333334,8,2011,1033.92
2011-08-15,1033.92,1000.0,1191.26,850.0,1013.7533333333334,959.3766666666667,8,2011,657.5
2011-09-15,657.5,1033.92,1000.0,1191.26,1075.0600000000002,1020.8633333333333,9,2011,1200.0
2011-10-15,1200.0,657.5,1033.92,1000.0,897.14,955.4466666666667,10,2011,645.21
2011-10-15,645.21,1200.0,657.5,1033.92,963.8066666666667,988.7800000000001,10,2011,900.0
2011-11-15,900.0,645.21,1200.0,657.5,834.2366666666667,954.6483333333334,11,2011,745.29
2011-11-15,745.29,900.0,645.21,1200.0,915.07,906.105,11,2011,950.0
2011-12-15,950.0,745.29,900.0,645.21,763.5,863.6533333333333,12,2011,594.51
2011-12-15,594.51,950.0,745.29,900.0,865.0966666666667,849.6666666666666,12,2011,575.38
2012-01-15,575.38,594.51,950.0,745.29,763.2666666666668,839.1683333333334,1,2012,591.35
2012-02-15,591.35,575.38,594.51,950.0,706.63,735.0649999999999,2,2012,1150.0
2012-03-15,1150.0,591.35,575.38,594.51,587.08,726.0883333333333,3,2012,1250.0
2012-04-15,1250.0,1150.0,591.35,575.38,772.2433333333333,767.755,4,2012,906.37
2012-04-15,906.37,1250.0,1150.0,591.35,997.1166666666667,851.8733333333333,4,2012,1500.0
2012-06-15,1500.0,906.37,1250.0,1150.0,1102.1233333333332,844.6016666666666,6,2012,974.9
2012-06-15,974.9,1500.0,906.37,1250.0,1218.79,995.5166666666668,6,2012,1500.0
2012-07-15,1500.0,974.9,1500.0,906.37,1127.09,1062.1033333333332,7,2012,943.47
2012-07-15,943.47,1500.0,974.9,1500.0,1324.9666666666667,1213.545,7,2012,670.35
2012-08-15,670.35,943.47,1500.0,974.9,1139.4566666666667,1179.1233333333332,8,2012,950.0
2012-09-15,950.0,670.35,943.47,1500.0,1037.94,1082.515,9,2012,546.6
2012-09-15,546.6,950.0,670.35,943.47,854.6066666666667,1089.7866666666666,9,2012,900.0
2012-10-15,900.0,546.6,950.0,670.35,722.3166666666666,930.8866666666667,10,2012,656.57
2012-11-15,656.57,900.0,546.6,950.0,798.8666666666668,918.4033333333333,11,2012,1350.0
2012-11-15,1350.0,656.57,900.0,546.6,701.0566666666667,777.8316666666666,11,2012,1000.0
2012-12-15,1000.0,1350.0,656.57,900.0,968.8566666666666,845.5866666666667,12,2012,1100.0
2013-02-15,1100.0,1000.0,1350.0,656.57,1002.1899999999999,900.5283333333333,2,2013,773.5
2013-02-15,773.5,1100.0,1000.0,1350.0,1150.0,925.5283333333333,2,2013,1000.0
2013-03-15,1000.0,773.5,1100.0,1000.0,957.8333333333334,963.3449999999999,3,2013,874.23
2013-03-15,874.23,1000.0,773.5,1100.0,957.8333333333334,980.0116666666667,3,2013,1000.0
2013-04-15,1000.0,874.23,1000.0,773.5,882.5766666666665,1016.2883333333334,4,2013,1000.0
2013-05-15,1000.0,1000.0,874.23,1000.0,958.0766666666665,957.9549999999999,5,2013,661.05
2013-05-15,661.05,1000.0,1000.0,874.23,958.0766666666665,957.9549999999999,5,2013,1000.0
2013-06-15,1000.0,661.05,1000.0,1000.0,887.0166666666665,884.7966666666666,6,2013,656.64
2013-06-15,656.64,1000.0,661.05,1000.0,887.0166666666665,922.5466666666667,6,2013,950.0
2013-07-15,950.0,656.64,1000.0,661.05,772.5633333333332,865.32,7,2013,800.0
2013-08-15,800.0,950.0,656.64,1000.0,868.88,877.9483333333333,8,2013,828.68
2013-09-15,828.68,800.0,950.0,656.64,802.2133333333333,844.6149999999999,9,2013,750.0
2013-10-15,750.0,828.68,800.0,950.0,859.56,816.0616666666666,10,2013,1200.0
2013-11-15,1200.0,750.0,828.68,800.0,792.8933333333333,830.8866666666667,11,2013,975.86
2013-11-15,975.86,1200.0,750.0,828.68,926.2266666666666,864.2199999999999,11,2013,950.0
2013-12-15,950.0,975.86,1200.0,750.0,975.2866666666665,917.4233333333333,12,2013,900.0
2014-01-15,900.0,950.0,975.86,1200.0,1041.9533333333331,917.4233333333333,1,2014,900.0
2014-02-15,900.0,900.0,950.0,975.86,941.9533333333333,934.09,2,2014,1450.0
2014-03-15,1450.0,900.0,900.0,950.0,916.6666666666665,945.9766666666666,3,2014,777.56
2014-03-15,777.56,1450.0,900.0,900.0,1083.3333333333333,1062.6433333333334,3,2014,1500.0
2014-04-15,1500.0,777.56,1450.0,900.0,1042.5199999999998,992.2366666666667,4,2014,815.87
2014-04-15,815.87,1500.0,777.56,1450.0,1242.5199999999998,1079.5933333333335,4,2014,1000.0
2014-05-15,1000.0,815.87,1500.0,777.56,1031.1433333333332,1057.2383333333335,5,2014,800.0
2014-06-15,800.0,1000.0,815.87,1500.0,1105.2899999999997,1073.905,6,2014,700.0
2014-07-15,700.0,800.0,1000.0,815.87,871.9566666666665,1057.2383333333335,7,2014,711.13
2014-07-15,711.13,700.0,800.0,1000.0,833.3333333333331,932.2383333333333,7,2014,550.0
2014-08-15,550.0,711.13,700.0,800.0,737.0433333333332,921.1666666666666,8,2014,551.34
2014-08-15,551.34,550.0,711.13,700.0,653.7099999999999,762.8333333333334,8,2014,500.0
2014-09-15,500.0,551.34,550.0,711.13,604.1566666666666,718.745,9,2014,528.85
2014-09-15,528.85,500.0,551.34,550.0,533.7799999999999,635.4116666666667,9,2014,550.0
2014-10-15,550.0,528.85,500.0,551.34,526.7299999999999,590.22,10,2014,507.47
2014-10-15,507.47,550.0,528.85,500.0,526.2833333333332,565.22,10,2014,600.0
2014-11-15,600.0,507.47,550.0,528.85,528.7733333333332,531.2766666666666,11,2014,600.0
2014-12-15,600.0,600.0,507.47,550.0,552.4899999999999,539.61,12,2014,461.56
2014-12-15,461.56,600.0,600.0,507.47,569.1566666666665,547.7199999999999,12,2014,498.39
2015-01-15,498.39,461.56,600.0,600.0,553.8533333333331,541.3133333333334,1,2015,500.0
2015-01-15,500.0,498.39,461.56,600.0,519.9833333333332,536.2366666666667,1,2015,500.0
2015-03-15,500.0,500.0,498.39,461.56,486.64999999999986,527.9033333333333,3,2015,950.0
2015-04-15,950.0,500.0,500.0,498.39,499.4633333333332,526.6583333333333,4,2015,803.39
2015-04-15,803.39,950.0,500.0,500.0,649.9999999999999,584.9916666666667,4,2015,950.0
2015-05-15,950.0,803.39,950.0,500.0,751.1299999999998,618.89,5,2015,828.09
2015-05-15,828.09,950.0,803.39,950.0,901.1299999999998,700.2966666666666,5,2015,1000.0
2015-06-15,1000.0,828.09,950.0,803.39,860.4933333333332,755.2466666666666,6,2015,856.12
2015-06-15,856.12,1000.0,828.09,950.0,926.0299999999999,838.5799999999999,6,2015,900.0
2015-07-15,900.0,856.12,1000.0,828.09,894.7366666666666,897.9333333333334,7,2015,878.72
2015-07-15,878.72,900.0,856.12,1000.0,918.7066666666665,889.6,7,2015,600.0
2015-08-15,600.0,878.72,900.0,856.12,878.2799999999999,902.1549999999999,8,2015,632.91
